Id,SalePrice
1461,117219.9490503028
1462,118674.22702674294
1463,168086.31613764132
1464,194922.48632479535
1465,181003.88687199654
1466,176662.5447488718
1467,197294.02865590522
1468,172046.74413660786
1469,197216.4459036046
1470,118067.38587639811
1471,197102.98046154538
1472,109537.68108763025
1473,100739.1945338715
1474,157416.8289418835
1475,123441.02711305482
1476,320709.26453901984
1477,235727.2335540885
1478,275988.90588663757
1479,262502.63695241086
1480,421369.19757834123
1481,298931.92437212815
1482,200803.20832365402
1483,168542.24448280735
1484,164022.1848396679
1485,203404.03295239736
1486,205390.28786023924
1487,311437.02824856405
1488,248698.0707542599
1489,174707.00396237036
1490,214134.14641856024
1491,195231.8879924217
1492,95774.57404123206
1493,220168.45308206778
1494,289321.47857929976
1495,287480.58715317247
1496,209986.841006941
1497,166253.86293662642
1498,153165.61735278476
1499,166381.8630420805
1500,153210.85232126582
1501,156397.40861464085
1502,149336.2465438532
1503,286393.05525352946
1504,247995.17899563623
1505,221475.68060580196
1506,190283.39499266882
1507,241469.42313494548
1508,187753.97009362333
1509,158271.8191944388
1510,137704.6537205942
1511,138269.70477924144
1512,167568.16736099153
1513,144743.4348317326
1514,146797.259962019
1515,193359.78467078874
1516,147170.94983900955
1517,158042.9636931785
1518,128173.78164326343
1519,213447.5650167225
1520,119408.9475706351
1521,112453.56881430295
1522,183522.73344897304
1523,97889.45787351196
1524,114612.35803228593
1525,108856.74185858449
1526,99605.89307438128
1527,104310.56405263468
1528,154453.2394418812
1529,131102.01956393645
1530,214362.69113292196
1531,113805.50548453667
1532,106614.83342074006
1533,151388.3985654421
1534,128764.19699730209
1535,143575.5362665322
1536,106225.31715276829
1537,72763.03942187567
1538,168215.581220681
1539,195531.93231879498
1540,85630.32181996683
1541,138840.22992970675
1542,131292.22719179746
1543,175012.4322644469
1544,97409.78449658291
1545,126519.22257201595
1546,143199.63542951242
1547,133987.09809395712
1548,135123.7973114323
1549,120265.439298821
1550,127464.94085956419
1551,122268.64169588116
1552,131107.5472039917
1553,138048.60690815764
1554,127629.10545639925
1555,145076.79706000505
1556,91154.55213041969
1557,87043.64108573992
1558,102198.29620516155
1559,76595.54217001161
1560,121639.02779253085
1561,115456.91056799542
1562,132547.5907541193
1563,116316.96828191848
1564,154272.90961848717
1565,145794.21213700622
1566,240355.36380379347
1567,83517.73145760935
1568,204904.23018967453
1569,105350.24580570801
1570,147846.91885580035
1571,121967.81242822457
1572,139733.4035759985
1573,231188.2382432887
1574,119036.17599150838
1575,219110.77784668756
1576,256738.70940117445
1577,182793.86629234717
1578,136083.73400580912
1579,134801.93231652575
1580,201317.08569252616
1581,159181.89808042668
1582,133001.76759433054
1583,314108.99906207866
1584,227601.82955037645
1585,140636.39689312506
1586,84509.79782164643
1587,108560.21952424842
1588,140746.01778736472
1589,103768.4520675933
1590,141898.98914682507
1591,86446.23251896638
1592,117737.843768209
1593,139032.06490957536
1594,125702.0718111854
1595,98220.33681320511
1596,201295.4743470184
1597,155036.8668125253
1598,203500.46707716817
1599,187399.7233773
1600,178573.3324345558
1601,67298.06990717247
1602,112203.84525265216
1603,89820.84190291536
1604,244950.02029641872
1605,269538.4701585446
1606,175503.7044188249
1607,175044.79239314198
1608,232113.5899041383
1609,181407.82888921458
1610,153956.09194043753
1611,147451.3198827727
1612,159610.5494269855
1613,171965.24344666363
